loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,medium,,Medium,0.26,0.74,0.0,14.2312,1,800.0000,399
2,medium,,Medium,0.01,0.63,0.36,8.1102,1,630.0183,398
3,medium,,Soft,0.205,0.33,0.465,8.6151,1,800.0000,399
4,medium,,Soft,0.24,0.295,0.465,10.2317,1,800.0000,400
5,medium,,Medium,0.36,0.62,0.02,11.2526,1,747.9778,397
6,medium,,Medium,0.005,0.975,0.02,10.5143,1,673.5960,399
7,medium,,Medium,0.28,0.57,0.15,10.4837,1,573.2772,397
8,medium,,Medium,0.215,0.4,0.385,9.2031,1,800.0000,399
9,medium,,Soft,0.18,0.355,0.465,8.6083,1,694.0782,396
10,medium,,Medium,0.25,0.42,0.33,9.4938,1,800.0000,396
11,medium,,Medium,0.27,0.435,0.295,10.6241,1,800.0000,400
12,medium,,Soft,0.085,0.19,0.725,8.6425,1,464.3213,397
13,medium,,Medium,0.35,0.53,0.12,10.7628,1,800.0000,398
14,medium,,Soft,0.165,0.26,0.575,9.7630,1,800.0000,400
15,medium,,Soft,0.2,0.305,0.495,9.9858,1,800.0000,399
16,medium,,Medium,0.04,0.96,0.0,10.6265,1,706.1337,399
17,medium,,Medium,0.01,0.92,0.07,9.0418,1,572.2347,400
18,medium,,Hard,0.595,0.255,0.15,15.5166,1,800.0000,398
19,medium,,Medium,0.25,0.42,0.33,9.3296,1,693.7563,400
20,medium,,Hard,0.365,0.28,0.355,11.5444,1,800.0000,400
21,medium,,Soft,0.255,0.34,0.405,10.4492,1,800.0000,397
22,medium,,Medium,0.33,0.63,0.04,10.9900,1,800.0000,399
23,medium,,Hard,0.5,0.44,0.06,11.5491,1,800.0000,400
24,medium,,Soft,0.275,0.33,0.395,10.5971,1,800.0000,400
25,medium,,Soft,0.225,0.385,0.39,10.1882,1,800.0000,400
