loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,medium,,Soft,0.21,0.39,0.4,8.9453,1,715.1222,1780
2,medium,,Medium,0.0,0.55,0.45,7.8472,1,612.5794,398
3,medium,,Medium,0.01,0.63,0.36,8.2403,1,572.5649,399
4,medium,,Medium,0.0,0.675,0.325,8.3382,1,604.4040,398
5,medium,,Soft,0.125,0.14,0.735,7.1041,1,584.6529,397
6,medium,,Medium,0.01,0.91,0.08,8.8354,1,570.4850,399
7,medium,,Medium,0.005,0.915,0.08,8.8406,1,612.9351,398
8,medium,,Soft,0.065,0.25,0.685,8.9099,1,721.3339,399
9,medium,,Soft,0.205,0.33,0.465,8.6320,1,569.2810,399
10,medium,,Medium,0.29,0.62,0.09,10.5525,1,719.2061,400
11,medium,,Medium,0.365,0.485,0.15,10.5570,1,575.8094,399
12,medium,,Medium,0.0,0.985,0.015,10.5466,1,567.9750,400
13,medium,,Soft,0.125,0.14,0.735,7.3379,1,564.1016,397
14,medium,,Medium,0.09,0.87,0.04,10.6177,1,702.8460,398
15,medium,,Medium,0.0,0.985,0.015,10.5045,1,597.0471,400
16,medium,,Hard,0.485,0.39,0.125,11.2334,1,603.3148,398
17,medium,,Medium,0.26,0.73,0.01,13.0554,1,694.5763,399
18,medium,,Medium,0.0,0.96,0.04,9.7015,1,577.6259,398
19,medium,,Medium,0.17,0.645,0.185,9.8911,1,698.3194,400
20,medium,,Medium,0.0,0.985,0.015,10.4681,1,582.8178,400
21,medium,,Medium,0.0,0.985,0.015,11.1750,1,642.8744,398
22,medium,,Medium,0.015,0.985,0.0,11.0960,1,613.2713,394
23,medium,,Medium,0.04,0.96,0.0,10.7381,1,687.7661,397
24,medium,,Medium,0.0,0.985,0.015,10.5369,1,618.5019,399
25,medium,,Hard,0.485,0.39,0.125,11.2395,1,588.2961,399
26,medium,,Medium,0.46,0.535,0.005,12.7732,1,678.6198,399
27,medium,,Medium,0.0,1.0,0.0,13.8277,1,608.9399,397
28,medium,,Hard,0.52,0.47,0.01,12.8016,1,703.7986,400
29,medium,,Medium,0.0,0.985,0.015,11.4781,1,547.7861,399
