Is_Press,Conductance,Weight_g,Force_N,Exp_ID
1.0,0.0042855918218668,4.77,0.0467937,2
1.0,0.004261666293366,4.89,0.0479709,2
1.0,0.0043064467322404,4.79,0.0469899,2
1.0,0.0042736868914325,4.86,0.0476766,2
1.0,0.0042896362204459,4.78,0.0468918,2
1.0,0.0042876130674115,4.77,0.0467937,2
1.0,0.0042689434182755,4.91,0.0481671,2
1.0,0.0042890842621098,4.87,0.0477747,2
1.0,0.0042344173262431,4.82,0.0472842,2
1.0,0.0042536900580471,4.89,0.0479709,2
1.0,0.0042425013608141,4.87,0.0477747,2
1.0,0.0042363905772658,4.87,0.0477747,2
1.0,0.004252966426007,4.88,0.0478728,2
1.0,0.0042233296552777,4.87,0.0477747,2
1.0,0.0042410619439286,4.9,0.048069,2
1.0,0.0042260068282719,4.92,0.0482652,2
1.0,0.004243761652335,4.87,0.0477747,2
1.0,0.0042569494518881,4.88,0.0478728,2
1.0,0.0042358522355309,4.86,0.0476766,2
1.0,0.0042656656389298,4.7,0.046107,2
1.0,0.0042596694315059,4.67,0.0458127,2
1.0,0.0042489908466157,4.75,0.0465975,2
1.0,0.004266393599273,4.68,0.0459108,2
1.0,0.004243761652335,4.68,0.0459108,2
1.0,0.0042822884366123,4.67,0.0458127,2
1.0,0.0042477274477626,4.73,0.0464013,2
1.0,0.0042564058727487,4.7,0.046107,2
1.0,0.0042669397326039,4.73,0.0464013,2
1.0,0.0042504356515899,4.73,0.0464013,2
1.0,0.0042890842621098,4.73,0.0464013,2
1.0,0.0044039282846526,36.65,0.3595365,2
1.0,0.0050965801687142,289.15,2.8365615,2
1.0,0.0051187550925534,332.01,3.2570181,2
1.0,0.0051840331509381,329.99,3.2372019,2
1.0,0.0052737052775355,328.4,3.221604,2
1.0,0.0052831783321894,327.3,3.2108130000000004,2
1.0,0.0053986934870231,326.5,3.2029650000000003,2
1.0,0.0052598358654542,326.07,3.1987467,2
1.0,0.0052745397685819,325.55,3.1936455,2
1.0,0.0053986934870231,325.0,3.1882500000000005,2
1.0,0.0054077438600057,323.76,3.1760856,2
1.0,0.0054380335774754,322.72,3.1658832,2
1.0,0.0054659742800438,322.67,3.1653927000000004,2
1.0,0.0054767511611985,322.41,3.1628421000000007,2
1.0,0.0055700996737587,322.18,3.1605858,2
1.0,0.004519773990871,324.41,3.1824621000000004,2
1.0,0.0041266042003606,73.72,0.7231932,2
1.0,0.004138730220434,68.49,0.6718869,2
1.0,0.0041081258561,71.02,0.6967062,2
1.0,0.0041645843571356,72.39,0.7101459,2
1.0,0.0040587709876663,73.49,0.7209369,2
1.0,0.0040946687245325,76.14,0.7469334000000001,2
1.0,0.0041536863794239,78.17,0.7668477,2
1.0,0.0053723003901778,190.81,1.8718461,2
1.0,0.0056315818796441,334.42,3.2806602,2
1.0,0.005508427864336,330.17,3.2389677000000003,2
1.0,0.0057165723105438,330.97,3.2468157000000004,2
1.0,0.005573825285247,326.93,3.2071833,2
1.0,0.005567308731949,326.23,3.2003163000000003,2
1.0,0.0055691690489576,328.72,3.2247432000000003,2
